Alt: 10264.25 m | T: 221.54 K | P: 25442.68 Pa | D: 0.40 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 298.35 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 10632.21 m | T: 219.16 K | P: 24036.03 Pa | D: 0.38 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 296.74 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 11008.21 m | T: 216.72 K | P: 22664.57 Pa | D: 0.36 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.09 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 11392.35 m | T: 216.65 K | P: 21342.26 Pa | D: 0.34 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 11784.48 m | T: 216.65 K | P: 20066.84 Pa | D: 0.32 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 12184.71 m | T: 216.65 K | P: 18843.78 Pa | D: 0.30 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 12592.86 m | T: 216.65 K | P: 17673.38 Pa | D: 0.28 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 13009.06 m | T: 216.65 K | P: 16554.90 Pa | D: 0.27 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 13433.09 m | T: 216.65 K | P: 15488.25 Pa | D: 0.25 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 13865.08 m | T: 216.65 K | P: 14472.36 Pa | D: 0.23 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 14304.80 m | T: 216.65 K | P: 13506.83 Pa | D: 0.22 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 14752.37 m | T: 216.65 K | P: 12590.30 Pa | D: 0.20 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 15207.54 m | T: 216.65 K | P: 11722.10 Pa | D: 0.19 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 15670.42 m | T: 216.65 K | P: 10900.67 Pa | D: 0.18 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 16140.75 m | T: 216.65 K | P: 10125.08 Pa | D: 0.16 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 16618.63 m | T: 216.65 K | P: 9393.63 Pa | D: 0.15 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 17103.78 m | T: 216.65 K | P: 8705.19 Pa | D: 0.14 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 295.04 m/s | V_w: [0.00, 0.00, 0.00] m/s
